15:47:08 root:144 - <module>() INFO || -------------------------------------------------------------
16:08:43 __main__:110 - propagate_db_var_change() DEBUG || Tried to send new db to productviewer, but it does not exist yet.
16:08:43 dbmanager:114 - _load_offline_dbs() INFO || Loaded DBs.
16:08:43 productviewer:26 - __init__() INFO || appwidget-productviewer Init.
16:08:43 DefaultEngine-ProductViewer:30 - __init__() INFO || DefaultEngine-ProductViewer Init.
16:08:43 DefaultEngine-ProductViewer:273 - __init__() DEBUG || Post-Super Init for ProductViewer Engine
16:08:43 DefaultEngine-ProductViewer:40 - set_build_config() INFO || Passed Check Req Headers.
16:08:43 analysispage:26 - __init__() INFO || appwidget-analysispage Init.
16:08:43 DefaultEngine-AnalysisPage:30 - __init__() INFO || DefaultEngine-AnalysisPage Init.
16:08:43 DefaultEngine-AnalysisPage:40 - set_build_config() INFO || Passed Check Req Headers.
16:08:43 matplotlib.legend:1384 - _parse_legend_args() WARNING || No handles with labels found to put in legend.
16:08:44 querypanel:26 - __init__() INFO || appwidget-querypanel Init.
16:08:44 DefaultEngine-QueryPanel:30 - __init__() INFO || DefaultEngine-QueryPanel Init.
16:08:44 DefaultEngine-QueryPanel:40 - set_build_config() INFO || Passed Check Req Headers.
16:08:44 DefaultEngine-QueryPanel:40 - set_build_config() INFO || Passed Check Req Headers.
16:08:44 querypanel:268 - _update_queries() INFO || .update_queries called for category Orders
16:08:44 datatable:26 - __init__() INFO || appwidget-datatable Init.
16:08:44 DefaultEngine-DataTable:30 - __init__() INFO || DefaultEngine-DataTable Init.
